Q55,Q58,Q61,Q64,Q67,Q72,Q74,Q78,Q79,Q81,Q82,Q84,Q92,Q98,Q99,Q100,Q101,Q103,Q104,Q111,Q114,Q116,Q119,Q120,Q121,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q133,Q130
"In the event that you cannot get all your work done, what types of things are/were the most likely to be neglected?","What types of social activities are the most
  likely to be neglected?","In the
  event that you cannot get all your errands done, 
what types of things are the most
  likely to be neglected?",What types of things related to your other children are the most likely to be neglected?,What aspect of this relationship with your significant other are the most likely to be neglected?,Can you please tell us more about your experience finding caregivers?   If you are not in the child's family unit please try to answer on their behalf.,"Can you please tell us more about this experience of having your child away overnight?   If you are not in the child's family unit but you are able, please answer on their behalf.","Can you please tell us more about how your social life is or was affected?   If you are not in the child's family unit but you are able, please answer on their behalf.",Can you please tell us more about having to decline an invitation because you tried but were unable to find somebody able to care for the child?,"When you do socialize, who are you likely to spend this time with?",Do you feel like you have enough personal time for yourself?,"What types of personal activities do you like to do strictly for yourself? Examples: read, exercise, have lunch with friends, go to the spa.",Please tell us more about how your health has been affected.,What are the three biggest sources of joy in your life?,What are the three biggest sources of stress in your life?,In what ways has your child's illness affected his/her siblings?,"What types of activities does the family like to do together?  Examples: play sports or boardgames, go to the museum.",Please tell us more about how your marriage has been affected.,"If the other parent is involved in your life, but you are not married:How has has your child's illness affected your relationship with his/her other parent?Skip if not the parent.",What impact did splitting the family's living arrangement have?,How could/can your living situation be improved?,Please tell us more about how finances play/ed a role in decisions concerning the child's medical treatment.,Please tell us more about how finances have/had been affected and the impact on the different family members.  Have you come up with any creative solutions?,Please tell us more about how your finances have had an impact on your family's relationships since your child became sick.,How would you describe the time that the child has had to sleep overnight or spend extended periods in the hospital?,What three things did you miss most about about home?,What three things do you think the child missed most about home?,What three things about your hospital stay(s) were you most grateful for?,How could your hospital stay have been improved?,What important information about caring for the child do you wish you had known or been told sooner?,What advice would you give other caregivers in similar circumstances?,What additional services would have been useful during this time?  Please choose all that apply.,What other additional services would have been useful during this time?,What are your concerns or worries about this type of a facility?,Thank you for your time and ideas. Is there any other advice or feedback you would like to share to help us design Ladybug House?
"House, ",All social needs of parents ,NA,Tone,Any alone time,nurses at agencies are not paid enough.  therefore it's difficult to have continuity of care.,Only at Camp Korey or with friends we trust.,I don't have one because there isn't tjme,Few people understand my daughter's needs and are able/willing to watch her. ,I can't really think of anyone I socialize with ,No.,"Read exercise, get coffee with a friend",I have severe anxiety now that I am working with a therapist for ,"My children
Dancing
Writing ",The fear of cancer returning ,It separates them,"Games, watch a movie",Made us closer but the further out from cancer it is tearing us apart,Stronger bond,Financial and emotional impact,More organization around me ,Bills co pay for medicine ,We can't afford extra curricular for any of the 4 boys ,The medical bills became a stress.,"A blessing. I finally felt like I didn't have to worry about her condition, I could just focus on spending quality time with her.","Unity, peace, comfort",She's a baby,"Attentive staff, close monitoring, friendly environment",Softer sheets and better pillows.,So many things! I felt like we were told so little.  All things were learned with time. ,A lot,"Respite,Support for my other children",It wa long ago. This survey has been hard to answer since she died. I had ins at the time and had support from my dad but without those things it would have been a worse scenario for me,I have a lot of confidence in the hospitals where we had treatment. Not sure I'd seek something alternative based on our positive experience. ,Not at this time 
"I did not travel for work during that time period
I only worked 40 hours per week or less (normally worked 50+)
My work was very supportive and adjusted my projects accordingly to allow me more flexibility and more back-up support",Time with other kids his age who weren't also sick. ,Myself,"Their sporting events or even getting to play sports the cost alone makes it hard, having enough time to do anything one on one",Alone time ,"We qualify for respite through DDA, but have never found a respite caregiver, so we can't take advantage of that benefit. ",Stayed at grandmas,"Strengthened a few key relationships, but effectively eliminated most others. Have become close with other families afftected by same rare disease, but none live near us. Those relationships are important to me, but all are by phone/online ",Too tired to go out,Watch bachelor with neighbors,No,"Exercise, read",The experience worsened my addiction to alcohol to the point that I had to be away from her for almost two months to be treated for my addiction.,Normalcy,Money,"Loss of mom around
Stress about brother being sick
Money is tight ",Sports,They are separated constantly and solely focus on their child's health.,We got closer again,Hard. Lots of sadness. ,It's great for what we can have,We had to raise money to try and get her better treatment ,"There never seems to be enough money. While living in free housing, parents still would like to buy food for their children and the stress of illness caused both parents to get into smoking which is an expensive habit.","Stressed out, not able to do a lot like going to movies",Sleepless,"Soft blankets, pillows and quiet.",The same.,"Kind staff, expertise advice",?,"I wish I had known how much I would think about it, even when I felt that the situation was under control. It permeates my everyday life, even when she is medically stable.","Treat every kid like theyre going to live through this even if it may look like they won't. No child should have to hear the words ""you're going to die soon.""",Peer or professional support for self,"More and better options for where to stay. We live two hours from the hospital where he was treated. There were times when he was released but we were told to stay within 15 min of hospital, or he had multiple outpatient appointments. Ronald McDonald house was full at times or we didn't have appointments enough days in a row, or he couldn't be around other children. We did a lot of driving. It was exhausting. ",I wanted to do it on my own.  Perhaps if things were more dire or treatment lasted longer.  As it was we had enough support.,Please support Susan...she's amazing!!
"House, other siblings",All,Grocery shopping ,School work,Anything not related to our daughter ,"Used a home health agency in Spokane to staff nurses, qualified for 16-24 hours per day of nursing care. When a nurse was sick there often times wasn't anyone to cover, so the family would take turns staying up at night. The father worked during the day so it was difficult for the mother to be alone during the day with the sick infant plus 3 other children.","Some hospitalizations, but most night time care was provided by nurses at the home.",Made new friends but lost old friends ,The mother often could not meet with friends or do anything other than care for the child and take her to various appointments.,Only very close friends who are aware of her medical condition and my generally low capacity for sustained social interaction,This isn't really even a thought while fighting cancer,Work out and lunch,I bing eat and don't go to sleep until 2AM.,My kids- giving-God,"Money, guilt, time, work",She has anxiety and cries all the time. ,Spend time together movies trips,Put a lot of added stress,His dad lived in another state and only came when he wanted. Showed me how little he cared.,Distance made us move father apart ,More knowledge from outsiders,Expensive medications has lodging food at the hospital every day,Money can be hard to find but the community this kid has gained has been wonderful with their donations. It isnt easy but we always find a way. ,Bills are piling up,Stressful and scary. ,Stressful worry ,Family dogs friends her own bed,The expertise of the staff.,No complaints. Amazing staff like I said ,She is under age 2 ,Ask for help,"Support for my other children,Help with social service programs,Childcare for siblings",schooling,They killed my son..they lie about care and procedure and have never been accountable..im still looking for help in my son's case,Never give up. It will be built. 
"At home:house keeping!

Luckily I could work from home/telecommute for my job, and worked a completely flexible schedule.  My husband took FMLA during the hospice time. ",Nome,Self care,Celebrating their success. Spending time with my grandson. Just being  There for them.,"Talking, connecting, sex, sharing common interests to nuture the bond",In the army ,"It is so difficult and complex for families who are exhausted and are parenting other children as well. Families are whole intact units, not just attached to the patient. They come as one . There is a no win situation when physically and emotionally exhausted families are losing a child to a life threatening illness.",N/A,Meds every 4-6 hours ( 17 different ones) ,Friends that come over to my house. ,Trying to find time when my daughter is asleep ,"Wateraerobics, have coffee with friends.","Worrying , exhausted","Family, friends, animals","Work, money, sickness of child",They feel left out ,Go to restaurants ,"My husband has to stay home and work and visits on the weekend. We don't see each other or get time
Together.",He is no longer in their lives,We divorced,Extra care for the child,Had to quit working,Had to go back to work after he was better.,Fight about money ,Almost continuous for 9 months ,"Safe zone, own bed, familiarity ","Her bedroom, her toys, her dogs ",Nurses other familys,N/a,Money. ,See above ,"Respite,Peer or professional support for self,Help with tasks of daily living (house/yard/errands/meals)",Services for disciplinadisciplinary actions on those in power who abuse their title against innocent children and their famikies,Cost,Couples need some time to themselves even if it's once children are asleep. A partition wall between beds would even help. 
Work.time with kids,All,Personal care,"Pretty much everything. School functions, homework, missing plays or sports ",Almost everything,I never looked for one. I wanted to be with my child.,This child was in the PICU for weeks recovering from her surgery to remove the tumor. ,Support is usually immediate but then society does not know how to come alongside extended grief.,These questions are for long term care. My daughter died in less than 48 hrs ,Family ,No,No,No time to exercise and not enough free time,Children husband home,"Finances, health, stress",The boy may have moments of craving attention ,Play outside,Fight over treatment,Skip,Finically.emotionally,"If we could be home. Or if we had our own space, kitchen etc... also the place we are staying is not in a safe area. ",We skip medicine because we can't afford it ,I had to quit my job so money has been super tight. ,"Mom had to quit job to move with son to Seattle. Lots of bills
Piling up",Long and stressful,"Family, pets, normalcy ",Same as above,Amazing staff of nurses ,Free food for parents,"I wish I had someone I could talk to. Worry with, help if I needed it",It's ok to grieve the loss of the life you had planned for your child. Take time for yourself. Enjoy the little things ,"Transportation help,Help with tasks of daily living (house/yard/errands/meals)","I was terrified when it was time for me to give birth because I didn't know who was going to take care of my daughter with cancer and my husband had to work.  I considered a home birth.  Instead, I had to have the baby then leave the hospital the next day and resume my normal activities.  Home care for myself during that time would have been helpful. ",I don't think it is relevant for our situation.,thank you for asking
Self care housework,Anything that required any amount of energy -- I only had the capacity to be in very small groups for short amounts of time. Anything with a large group was just too much.,Any shopping that is not the grocery store.,One on one time ,Time,"Trust, money, we are a military family and just moved here","Are we talking about hospice time?  Never left during that time.  During treatment,  left once or twice overnight with his grandparents.",I have no desire for a social life while my child is on treatment. ,"It's hard to find someone who can not only care for a sick child, but take care of all their needs as they arise. Most of the patients I work with are on some sort of feeding regimen (NG, g-tube), take their meds via their tubes, and also may have central lines that need occasional attention or night time hook-ups.","Best friend, mom",Yes,"Hiking, working out, gardening",Depressed,"Family, friends, church","My daughter future
No time enough 
All the errands ",Just not having mom to themselves,"Games, travel, walks.",No interest in sex,She died. He died. ,At rmh there isn't really a good way to get physical with my husband. The kids must be with you at all times. Can't let them do an activity and sneak off real quick. Nothing. We both also got into bad habits of selfishness. Taking care of our own priorities without asking the other person. ,"Live closer to my sister
",MILITARY CHILD ,I am unable to work while he is in treatment. The only income I have is child support,"Trying to watch eating out, what activities we can do",Boring uncomfortable,"Sleep, my own kitchen, my family ",Family friends and pets ,"Saving my chuld, nurses, saving my child ",Provide food for parents ,"That cognitively she is still the same as her peers so any normal desire, need or want that any three year old has, she also has, so instead of treating her differently by being overly cautious or unsure of what she's capable of, its about realizing she is equally as capable as her peers so its about  helping her adapt so she can carry on with her life normally to the best of her ability",Ask for help ,"Support for my other children,Financial assistance,Childcare for siblings,Transportation help","From a caregiver and patient standpoint, having some type of help with PTSD.  I see long term impact on families even after the ordeal seems over.  Having help to develop healthy skills to work through anxiety, insomnia etc would be great for the long term.  When you are so busy getting through the medical care, the emotional piece seems to get left behind and is up to the family to try and pursue.  This type of care takes so much time to find the right therapist and build a relationship.  If this type of structure were in place it would be so helpful.",,CARE OF A TERMINALLY ILL CHILD IS ALWAYS CHALLENGING! YET EXTREMELY REWARDING
"Housework
",Keeping in contact and getting together with friends and seeing other extended family members.,"Laundry, cleaning. ",Attending their extra curricular activities ,Have a date,"Coming from another state makes it challenging, but being referred to Seattle Children's Hospital is reassuring.",Very difficult to do....only with my husband twice and his grandma once,"Some Friends don't understand, but the ines that do the friendships are stronger",Don't trust anybody ,Friends,Yes.,Exercise,I put the child's health before my own without recognizing it. The lack of social exposure also affects mental health significantly.,"My daughters 
Exercise
Read about how to help my child","Fluorescent lighting
Medical alarms
Bills",I think they often feel left out while we are at appts and the hospital for infusions ,Hiking sports  games ,"Husband had to stay home to work, being away from each has grown us father apart. We have no time for each other l. ",I am married so n/a,The children left behind missed out on time with their mom and vice versa.  Our son lost our on time with his dad.  I did not get adequate relief from caregiving and was not as patient with the son battling cancer at times due to exhaustion.  ,Stay at home and do treatment near home ,"It costs a ton of money for insurance premiums, trips to and from the hospital, extra food, medicines, water usage at home with the extra laundry","We are low income and the lost of a job has created bills piling up, that can't be paid. ",Or fault is used to being able to afford occasional treats and extra things but the sudden change in that has caused a lot of disappointment for all 3 children and several fights between husband and myself,Exhausting and harrowing,Warm blankets soft pillows movies,Movies playing toys,"Nurses, safety, ",Outside time ,Too soon to tel,Stay positive and don't take anything for granted. Advocate for your children and never stop fighting ,"Support for my other children,Financial assistance,Insurance assistance,Peer or professional support for self,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",Activities for siblings and child; social activities with other parents dealing with cancer; meal delivery to the hospital; comforts from home; one of our favorite nurses to visit us at home; help with naturopathic support care,,"Need to run through the questions from different points of view, the way they are worded don't always make sense to the reader. "
"Feeding myself 
Sleep ",Everything. My life revolves around the health of my ill child. ,"Paperwork, grocery store ",Everything,Quiet time ,There were not many people who had the skills or knowledge to care for my son.,He stayed with grandparents,Her death affected me,They had the parents help but even they have errands sometimes. More support was much needed ,Work,"Not a lot, but enough for me at this time","Walk, read","I dealt with PTSD, depression and anxiety.","Survivorship
Life
Fresh air",Worrying about my kids getting sick.,NOT KNOWN,Watch shows,"We are mourning, sometimes it's good and often it's bad. ",My ex had little too do with my daughter after she was paralyzed from the neck down.  It was awkward when he would  visit. ,This split our whole family up and put our sons life was taken,Finding a trusted sitter would be amazing ,We couldn't leave each other back home we had to stay together so my husband wasn't able to work..,We had to learn to do things with no money,"MILITARY HEALTH CARE DEPENDENT, FEAR OF THE UNKN OWN",Long and costly,Meals pets space,Same,Nurses drs social worker,Better food ,What to expect when she was dying. No one talked about death and it made it much harder. We missed out on what could've been special moments together at the end. ,Seek empathy from like-minded parents or social groups.,"Respite,Referral or references for alternate caregiver service or options,Support for my other children,Help with social service programs,Financial assistance,Childcare for siblings,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",Pallative care options like Ladybug House.,,No ladybug house knows!!!! Best of luck.  I hope it comes to be!!!!!
Self,"Friends, dinners","Food, animals","Activities outdoors or in groups of kids his age
School was limiting depending on the other sick kids
Interaction with parents because the needs of the cancer kid were first coming",Time alone,The most don't understand cancer and all the things comes with it,It was terrifying and calming at the same time ,"The parents are more withdrawn and attentive to their sick child, while life outside goes on. This includes paying attention to direct family members or other children as well.",Kid gets sick,Other cancer families,No,"Read, lunch, and walks.","Gain weight, stress","My kids
My husband
My extended family",Cancer child   Work bills ,Too many ways to list ,"Sports, board games, talk, walks, parks. ",It's just a learning thing. You either figure it out or you dont. But it's hard,We are stronger as a couple,Very hard in the other children being away from the family ,Grief support ,I've had to quit my job to take care of my child. ,I lost my job of 21 years because I chose to take care of my daughter. ,Argue about money,Awful. ,"Family
Friends
My cat
",Family friends his own space ,Nurses ,More comfortable bed ,Relax,"Whatever you need, ask...  Sites to get info from, parent forums, where to get egg carton matteresses for the couch","Financial assistance,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",Some one trained in counseling for the caregivers so they could get through these moments together and confidently. ,,Thank you for your care 
"Online work, email. Some can be done from home.","Dinners out, movie theater, vacations.",Basically everything ,"School activities, being home",Almost everything ,The parents of this child moved in with the mothers parents for extra help and support. ,It was hard to leave him and trust that others could care for him as well as icould,We were limited because of cemotherapy and the likelihood of catching something to being around crowds.,"Birthday parties, coffee, lunches. ",Good friends,No,"Read walking , our dogs",Mentally stressful and putting emotional trauma seeing this child I care for go through so much pain when she has barely lived her life. ,Family friend  exploring ,"Seeing these kids I care about go through cancer. Losing patients, losing friends to cancer. ",It made her older brother very jealous for attention but also her most favorite caregiver,Games..going outside..movies...,My husband moved out ,"It made us pull together and help each other through the hard times, but the medical care (on top of having a younger child) we never spent time together or went on dates, always exhausted ","It was awful, depressing, hard to motivate and uplift your child when you are in a sea of unknown faces but I got great at ""fake it til ya make it'!â˜º It's hard but for the love of your child you can do anything!",More money and time ,I had no money.  We had no transportation most of the time.  There was nothing extra for alternative therapies that might have helped with pain management or quality of life.,We don't have the money to enjoy certain things together. Despite our extreme budgeting we still love paycheck to paycheck ,"Hard to go from working mom to stay at home with a sick child and one healthy one.  More stress.  

Family has rallied around us and helped a lot!",Not as bad as other kids ,"Food, comfort, leaving the room. ","Her sister, being able to leave the room, and her bed ","Nurses, hospital ice, and chocolate ","Food for parents, better beds and bedding",Her diagnosis ,take care of yourself if it's a long haul,"Referral or references for alternate caregiver service or options,Support for my other children,Financial assistance,Peer or professional support for self","A free place to land for a month or two that is accessible to a wheelchair.  Most families cannot stay with relatives due to this access problem.  

A family space to gather for holidays

Being able to cook,
Skilled professionals staffing facilities",,Good luck! 
"Housework, financial, care for other children","Friends, sports, vacation","Laundry, my doctor appointments ","spending time together, talking, listening....
homework..
She was a big part of his life so we did mostly everything together.",All aspects suffer during the loss of a child in my opinion.,"During the hospice time, only an ARNP friend was trusted.",Lived separately,Meet all the cancer moms and familys,"We had to do it all the time, mostly for the child's wellbeing or being around sick children ",Friends family ,Yes,"Reading, watching shows, DIY arts and crafts. ","Anxiety and depression, weight gain","This child, my best friend, my volunteer work at the Childrens Hospital.","Loss of son
",Less time spent with them ,"Movies, arcades, restaurants",time spent apart during hospital stays,We were great when Zade was alive .it was hard and trying but now that he's gone and he does the way he did when he was supposed to be home with us it has ruined our relationship now I lost my son and his dad,Hard on all involved. ,Currently don't have a place,"There were times we discussed taking him off oxygen at. Igor because he want keeping the cannula in and we could do two more hours of therapy if we weren't paying $500 a month for the o2 condenser. 
We were paying about $3,000 a month for our son. We didn't qualify for funding or help because we both worked and made too much, but $3,000 a month is drowning for anyone! $1,500 a month for his insurance and $1,500 a month in copay and therapies they specifically excluded.","We don't spend if we can avoid it. We have a list now and out budget is much tighter. Christmas we remodeled children rooms, new floor new paint new sheets. We would have had to do this for sanitation anyhow, but made it a gift to save on the holidays. ",Difficult to change spending habits with reduced income. Added stress to marriage. ,"Exhausting, stressful, sad, lonely ","Our bed, routine, and freedom ",Same as above ,"Nurses, nurses, nurses ","my child didn't like to leave his room, so I would have liked to be able to interact with others.",That rmh was not going to keep him safe from unsafe germs. I'd need to lock myself in the room for that. ,TALK WITH PROVIDERS EARLY ON AND ASK QUESTIONS,"Support for my other children,Financial assistance,Peer or professional support for self,Transportation help",,,"I think it's going to be a wonderful place for everyone!! I'm really
Excited
To see this come alive!! "
